params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 18}",1962.98,113.23,83.74,1.18,380,2062976.13,766.26689,73.63221706393298,1196.7131100000001,True,,TSLA,60,30,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 12}",1752.43,107.56,87.16,1.15,384,1852429.88,766.26689,73.63221706393298,986.1631100000001,True,,TSLA,60,30,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 18}",2581.93,127.7,85.04,1.19,448,2681928.09,766.26689,73.63221706393298,1815.66311,True,,TSLA,60,30,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 12}",2076.69,116.11,88.91,1.16,478,2176689.94,766.26689,73.63221706393298,1310.4231100000002,True,,TSLA,60,30,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 12}",1232.36,91.14,86.2,1.11,331,1332356.61,766.26689,73.63221706393298,466.0931099999999,True,,TSLA,60,30,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 18}",1042.26,83.92,83.51,1.08,341,1142260.83,766.26689,73.63221706393298,275.99311,True,,TSLA,60,30,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 12}",1649.9,104.63,92.23,1.12,503,1749895.79,766.26689,73.63221706393298,883.6331100000001,True,,TSLA,60,35,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 18}",2260.23,120.53,88.16,1.16,477,2360230.22,766.26689,73.63221706393298,1493.9631100000001,True,,TSLA,60,35,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 12}",1610.94,103.48,90.37,1.13,400,1710942.17,766.26689,73.63221706393298,844.6731100000001,True,,TSLA,60,35,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 18}",1867.29,110.71,87.35,1.15,405,1967288.58,766.26689,73.63221706393298,1101.02311,True,,TSLA,60,35,0.5,18
