params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 12}",5016.75,92.71,90.53,1.06,667,5116749.2,1484.26298,73.63221706393298,3532.48702,True,,TSLA,60,30,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 18}",4734.78,90.89,86.69,1.04,535,4834777.85,1484.26298,73.63221706393298,3250.51702,True,,TSLA,60,30,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 12}",3294.11,79.96,89.12,1.02,557,3394109.55,1484.26298,73.63221706393298,1809.8470200000002,True,,TSLA,60,30,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 18}",5767.05,97.15,85.91,1.07,633,5867045.62,1484.26298,73.63221706393298,4282.78702,True,,TSLA,60,30,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 12}",3080.42,78.02,88.53,1.01,470,3180419.92,1484.26298,73.63221706393298,1596.15702,True,,TSLA,60,30,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 18}",2071.86,67.05,84.75,0.96,470,2171864.54,1484.26298,73.63221706393298,587.5970200000002,True,,TSLA,60,30,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 12}",3513.44,81.85,94.54,1.03,697,3613442.89,1484.26298,73.63221706393298,2029.17702,True,,TSLA,60,35,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 18}",4602.93,90.02,90.15,1.05,684,4702929.22,1484.26298,73.63221706393298,3118.6670200000003,True,,TSLA,60,35,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 12}",2786.84,75.17,92.59,1.01,586,2886839.2,1484.26298,73.63221706393298,1302.5770200000002,True,,TSLA,60,35,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 18}",4100.87,86.47,90.7,1.02,573,4200867.83,1484.26298,73.63221706393298,2616.60702,True,,TSLA,60,35,0.5,18
